Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
Airstrip,Minikowo,Minikowo,53.165558,17.746944,,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Dziecinów,Dziecinów,51.731113,21.307499,371.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Annowo,Annowo,52.802,17.880556,350.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Antonowo,Antonowo,54.058167,21.746918,390.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Bohumin,Bohumin,49.92589,18.378834,630.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Bojszowy,Bojszowy,50.049915,19.094444,785.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Boronów,Boronów,50.680584,18.915472,939.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Bożykowo,Bożykowo,54.074833,21.834806,491.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Bukowina Bobrzańska,Bukowina Bobrzańska,51.60633,15.423389,460.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Bychlew,Bychlew,51.637836,19.346,605.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Bydgoszcz-Aeroklub,Bydgoszcz-Aeroklub,53.10661,17.960917,205.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Bystrzyca Kłodzka,Bystrzyca Kłodzka,50.308804,16.645971,1247.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Chełmżyca,Chełmżyca,53.670444,19.46075,323.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Chobot,Chobot,52.25039,21.406445,387.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Chromna,Chromna,52.10914,22.37739,538.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Czarże-Rafa,Czarże-Rafa,53.21317,18.216696,50.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Czechy,Czechy,50.21239,20.15425,775.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Częstochowa-Kawodrza,Częstochowa-Kawodrza,50.7825,19.04936,876.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Dąbcze,Dąbcze,51.81875,16.66,322.0,,,,EP,,,skydemon_PL_missing.airfields.xml
